Comment,Designator,Footprint,LCSC
2K2,R9,R_0402_1005Metric,C102890
330,"R22,R26,R27,R28,R29,R30,R31",R_0402_1005Metric,C105876
FerriteBead,120R1,L_0603_1608Metric,C127301
LED,D11,LED_0805_2012Metric,C130114
6.8k,R39,R_0402_1005Metric,C131617
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
1u,"C10,C17,C18,C27,C9",C_0402_1005Metric,C142376
1k5,"R20,R21,R7,R8",R_0402_1005Metric,C144053
STM32F405RGTx,U1,LQFP-64_10x10mm_P0.5mm,C15742
4k7,"R1,R19,R32",R_0402_1005Metric,C159984
USB_C_Receptacle,J9,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
33P,"C23,C4",C_0805_2012Metric,C1663
0,R41,R_0402_1005Metric,C176107
150,"R11,R12,R14,R15,R17,R18,R24,R25,R34,R35",R_0402_1005Metric,C2758755
WM8960CGEFL/RV,U6,QFN50P500X500X90-33N,C18752
1N5819WS,"D10,D2",D_SOD-323,C191023
2k,R37,R_0402_1005Metric,C258126
Conn_01x08_Female,J10,JST_PH_S8B-PH-SM4-TB_1x08-1MP_P2.00mm_Horizontal,C265121
Conn_01x06_Female,"J11,J8",JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,C265405
SW_Push,"SW1,SW2,SW3",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,C266189
1k,R36,R_0402_1005Metric,C279981
USBLC6-2P6,U4,SOT-666,C2827693
ASMB-MTB1-0A3A2,"D18,D3,D4,D5",LED RGB,C2874115
Conn_01x08_Male,J4,PinHeader_1x08_P2.54mm_Vertical,C2894931
Conn_01x02_Female,"J1,J15,J2",JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747
ESP32-S3-WROOM-1-N8R2,U11,ESP32-S3-WROOM-1U,C3013944
Conn_01x04_Female,"J12,J13,J14,J3,J5,J6,J7",1x4pin 1mm connector,C3029343
5k1,"R2,R3",R_0402_1005Metric,C103086
100n,"C11,C12,C13,C14,C15,C16,C20,C24,C25,C26,C32,C33,C34,C7",C_0402_1005Metric,C338032
AMS1117-3.3,U2,SOT-223-3_TabPin2,C351784
10n,C8,C_0402_1005Metric,C361206
10k,R38,R_0402_1005Metric,C409612
15k,R4,R_0402_1005Metric,C409670
MCP73832-2-OT,U12,SOT-23-5,C424093
2u2,"C21,C22",C_0402_1005Metric,C76594
22u,C2,C_0805_2012Metric,C77071
STM32F030C8Tx,U5,LQFP-48_7x7mm_P0.5mm,C80488
4u7,"C1,C19,C28,C3,C31,C6",C_0402_1005Metric,C82453
M24C02-RDW6TP,CR1,New_ESP32_M24C02-RMN6TP,C83836
CH340C,U3,SOIC-16_3.9x9.9mm_P1.27mm,C84681
10U,C5,C_0402_1005Metric,C87148
100U,"C29,C30",C_1206_3216Metric,C87164
1,R40,R_0402_1005Metric,C881335
180,"R13,R16,R23,R33,R6",R_0402_1005Metric,C966703
BM14B(0.8)-24DS-0.4V(53),U13,BM14B(0.B)-24DS-0.4V(53),
