Comment,Designator,Footprint,LCSC
33P,"C23,C4",C_0805_2012Metric,C107115
1k,"R26,R27",R_0402_1005Metric,C11702
2u2,"C21,C22",C_0402_1005Metric,C12530
FerriteBead,120R1,L_0603_1608Metric,C127301
LED,D1,D_0805_2012Metric,C130114
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
100U,"C29,C30",C_1206_3216Metric,C15008
10n,C8,C_0402_1005Metric,C15195
100n,"C11,C12,C13,C14,C15,C16,C24,C25,C26,C32,C33,C34,C35,C36,C7",C_0402_1005Metric,C1525
STM32F405RGTx,U1,LQFP-64_10x10mm_P0.5mm,C15742
USB_C_Receptacle,J9,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
64.9k,R20,R_0402_1005Metric,C170350
0,R41,R_0402_1005Metric,C17168
WM8960CGEFL/RV,U6,QFN50P500X500X90-33N,C18752
1N5819WS,"D2,D6",D_SOD-323,C191023
4.7u,"C28,C3,C31,C6",C_0402_1005Metric,C23733
150,"R11,R12,R14,R15,R17,R18,R24,R25",R_0402_1005Metric,C25082
180,"R13,R16,R23,R6",R_0402_1005Metric,C25087
100k,"R1,R21",R_0402_1005Metric,C25741
10k,"R28,R29",R_0402_1005Metric,C25744
15k,R4,R_0402_1005Metric,C25756
1k5,"R7,R8",R_0402_1005Metric,C25867
2K2,R9,R_0402_1005Metric,C25879
4k7,"R10,R32,R5",R_0402_1005Metric,C25900
5k1,"R2,R3",R_0402_1005Metric,C25905
Conn_01x06_Female,"J11,J8",JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,C265405
SW_Push,"SW4,SW5",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,C266189
USBLC6-2P6,U4,SOT-666,C2827693
ASMB-MTB1-0A3A2,"D18,D3,D4,D5",LED RGB,C2874115
Conn_01x08_Male,J4,PinHeader_1x08_P2.54mm_Vertical,C2894931
Conn_01x02_Female,"J2,J3,J5",JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747
ESP32-S3-WROOM-1-N8R2,U11,ESP32-S3-WROOM-1U,C3013944
Conn_01x04_Female,"J12,J13,J6,J7",1x4pin 1mm connector,C3029343
1uH,L1,L_0805_2012Metric,C370013
360k,R19,R_0402_1005Metric,C423105
MCP73832-2-OT,U2,SOT-23-5,C424093
TPS63060,U7,Texas_S-PWSON-N10_ThermalVias,C48567
0.1u,"C37,C40,C42",C_0805_2012Metric,C495959
2.2p,C41,C_0805_2012Metric,C519933
1u,"C10,C17,C18,C27,C9",C_0402_1005Metric,C52923
STM32F030C8Tx,U5,LQFP-48_7x7mm_P0.5mm,C80488
10u,"C38,C39,C43,C44,C45,C46,C47,C48",C_0805_2012Metric,C83061
M24C02-RDW6TP,CR1,New_ESP32_M24C02-RMN6TP,C83836
CH340C,U3,SOIC-16_3.9x9.9mm_P1.27mm,C84681
4.7u,C1,C_0805_2012Metric,C92762
BM14B(0.8)-24DS-0.4V(53),U13,BM14B(0.B)-24DS-0.4V(53),
